Devices
1200
,,Imported Kistler Force Plate 1.1.0.0 #2 - Force,,,Imported Kistler Force Plate 1.1.0.0 #2 - Moment,,,Imported Kistler Force Plate 1.1.0.0 #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
22,1,1.06407,3.5999,-712.816,8623.29,26121.4,-50.8975,776.645,277.903,0
22,2,1.06501,3.59945,-712.806,8627.18,26122.3,-49.9794,776.647,277.897,0
22,3,1.06633,3.59886,-712.797,8631.18,26123.3,-49.0331,776.649,277.891,0
22,4,1.06804,3.59814,-712.789,8635.26,26124.3,-48.0685,776.651,277.885,0
22,5,1.07016,3.59727,-712.781,8639.4,26125.2,-47.0945,776.653,277.879,0
22,6,1.0727,3.59626,-712.774,8643.58,26126.2,-46.1181,776.654,277.873,0
22,7,1.07564,3.5951,-712.767,8647.78,26127.2,-45.1448,776.656,277.867,0
22,8,1.07899,3.59381,-712.761,8651.96,26128.1,-44.1785,776.658,277.861,0
22,9,1.08273,3.59238,-712.756,8656.12,26129.1,-43.2209,776.659,277.855,0
23,0,1.08682,3.59084,-712.752,8660.24,26130,-42.2725,776.661,277.85,0
23,1,1.09126,3.5892,-712.749,8664.32,26131,-41.3338,776.662,277.844,0
23,2,1.09601,3.58747,-712.746,8668.36,26131.8,-40.4065,776.664,277.838,0
23,3,1.10104,3.58568,-712.746,8672.35,26132.7,-39.4919,776.665,277.833,0
23,4,1.10635,3.58384,-712.747,8676.29,26133.4,-38.591,776.666,277.827,0
23,5,1.11191,3.58198,-712.749,8680.19,26134.1,-37.7041,776.667,277.822,0
23,6,1.11773,3.58012,-712.754,8684.04,26134.7,-36.8304,776.667,277.816,0
23,7,1.12379,3.57829,-712.76,8687.86,26135.2,-35.969,776.668,277.811,0
23,8,1.13009,3.57649,-712.769,8691.66,26135.6,-35.118,776.668,277.806,0
23,9,1.13662,3.57474,-712.78,8695.46,26136,-34.2745,776.668,277.801,0
24,0,1.14338,3.57306,-712.793,8699.25,26136.3,-33.4362,776.668,277.796,0
24,1,1.15035,3.57145,-712.809,8703.03,26136.6,-32.6015,776.667,277.791,0
24,2,1.15754,3.56991,-712.827,8706.81,26136.9,-31.77,776.667,277.786,0
24,3,1.16494,3.56846,-712.847,8710.56,26137.2,-30.9419,776.666,277.781,0
24,4,1.17256,3.56708,-712.87,8714.28,26137.4,-30.1177,776.665,277.776,0
24,5,1.1804,3.56577,-712.894,8717.93,26137.6,-29.298,776.664,277.771,0
24,6,1.18844,3.56454,-712.92,8721.52,26137.8,-28.4841,776.663,277.767,0
24,7,1.19669,3.56338,-712.948,8725.04,26138,-27.6782,776.662,277.762,0
24,8,1.20513,3.56227,-712.977,8728.49,26138.1,-26.8831,776.661,277.758,0
24,9,1.21376,3.56123,-713.007,8731.88,26138.2,-26.1032,776.659,277.753,0
25,0,1.22255,3.56027,-713.038,8735.22,26138.3,-25.3435,776.658,277.749,0
25,1,1.23151,3.55937,-713.069,8738.53,26138.4,-24.6097,776.656,277.745,0
25,2,1.24061,3.55856,-713.101,8741.83,26138.6,-23.9078,776.655,277.741,0
25,3,1.24985,3.55784,-713.132,8745.14,26138.7,-23.2439,776.653,277.737,0
25,4,1.25922,3.55721,-713.163,8748.44,26138.9,-22.624,776.652,277.733,0
25,5,1.26872,3.55668,-713.193,8751.74,26139.1,-22.0537,776.651,277.729,0
25,6,1.27831,3.55625,-713.223,8755.04,26139.3,-21.5382,776.65,277.725,0
25,7,1.288,3.55592,-713.253,8758.33,26139.5,-21.0825,776.648,277.721,0
25,8,1.29777,3.55569,-713.281,8761.62,26139.7,-20.6905,776.647,277.716,0
25,9,1.3076,3.55555,-713.309,8764.91,26139.9,-20.3648,776.646,277.712,0
26,0,1.31747,3.55552,-713.336,8768.2,26140.1,-20.1063,776.645,277.708,0
26,1,1.32735,3.55558,-713.362,8771.5,26140.3,-19.9146,776.644,277.704,0
26,2,1.3372,3.55575,-713.388,8774.81,26140.6,-19.7884,776.643,277.7,0
26,3,1.347,3.55602,-713.412,8778.15,26140.8,-19.7259,776.642,277.696,0
26,4,1.35672,3.55639,-713.436,8781.51,26141,-19.7246,776.641,277.691,0
26,5,1.36635,3.55686,-713.458,8784.88,26141.2,-19.7805,776.64,277.687,0
26,6,1.37586,3.55743,-713.48,8788.25,26141.4,-19.888,776.639,277.683,0
26,7,1.38522,3.55808,-713.501,8791.62,26141.7,-20.0411,776.639,277.678,0
26,8,1.39443,3.55879,-713.52,8794.99,26141.9,-20.2349,776.638,277.674,0
26,9,1.40345,3.55953,-713.539,8798.35,26142.1,-20.4649,776.637,277.669,0
27,0,1.41229,3.56029,-713.556,8801.7,26142.4,-20.7262,776.637,277.665,0
27,1,1.42093,3.56105,-713.572,8805.03,26142.7,-21.0138,776.636,277.661,0
27,2,1.42935,3.56177,-713.586,8808.33,26142.9,-21.3234,776.636,277.656,0
27,3,1.43753,3.56245,-713.599,8811.61,26143.2,-21.6517,776.636,277.652,0
27,4,1.44546,3.56308,-713.61,8814.87,26143.6,-21.9955,776.636,277.647,0
27,5,1.4531,3.56365,-713.619,8818.12,26143.9,-22.3509,776.636,277.643,0
27,6,1.46044,3.56416,-713.626,8821.37,26144.2,-22.7131,776.636,277.639,0
27,7,1.46743,3.56461,-713.631,8824.62,26144.5,-23.0758,776.636,277.634,0
27,8,1.47403,3.56501,-713.633,8827.9,26144.8,-23.4305,776.636,277.63,0
27,9,1.48022,3.56537,-713.634,8831.23,26145,-23.7677,776.637,277.625,0
28,0,1.48596,3.56567,-713.633,8834.63,26145.2,-24.0782,776.637,277.62,0
28,1,1.49123,3.56594,-713.63,8838.12,26145.4,-24.3538,776.637,277.615,0
28,2,1.496,3.56619,-713.625,8841.73,26145.5,-24.5883,776.638,277.61,0
28,3,1.50024,3.56642,-713.618,8845.48,26145.5,-24.7764,776.638,277.605,0
28,4,1.50395,3.56666,-713.61,8849.37,26145.5,-24.9145,776.638,277.599,0
28,5,1.50709,3.56691,-713.601,8853.41,26145.4,-24.9996,776.639,277.593,0
28,6,1.50967,3.56719,-713.59,8857.59,26145.3,-25.0286,776.639,277.587,0
28,7,1.51167,3.56749,-713.578,8861.89,26145,-24.9992,776.639,277.581,0
28,8,1.51309,3.56783,-713.566,8866.29,26144.7,-24.9092,776.64,277.575,0
